,Year,I-words,Grandeur words,Lexical density,Sentiment,Vocabulary size,Lexical diversity,Total words,Number of Songs
0,2003,40.5,0.5,74.34870803909268,0.19623934450323335,1341.0,0.07695397681625157,17426.0,2
1,2004,67.8125,2.375,77.43227077399352,0.08100614756519504,1648.0,0.07250329960404751,22730.0,16
2,2005,47.4,5.05,76.00105590437138,0.08889735662082701,573.0,0.11369047619047619,5040.0,20
3,2006,6.0,1.0,73.4982332155477,0.17775974025974023,472.0,0.09413641802951735,5014.0,1
4,2007,53.72222222222222,2.611111111111111,77.76516373003136,0.063177299526142,1617.0,0.07116764226926632,22721.0,18
5,2008,34.666666666666664,0.5,76.66950056369483,0.08505349280921726,813.0,0.09319119669876204,8724.0,12
6,2009,51.31060606060606,1.4772727272727273,76.38377209271532,0.08359455738097528,1611.5,0.08236501179036891,21206.0,0
7,2010,67.95454545454545,2.4545454545454546,76.09804362173581,0.0821356219527333,2410.0,0.07153882688197578,33688.0,22
8,2011,93.47727272727272,6.227272727272727,75.77465357982098,0.11887614430969999,1440.0,0.06435822122687597,20954.0,0
9,2012,119.0,10.0,75.45126353790613,0.15561666666666668,470.0,0.057177615571776155,8220.0,1
10,2013,37.8,2.0,74.66512952956701,0.05237132879245089,1194.0,0.06609831709477414,18064.0,10
11,2014,12.25,1.25,76.53296432350794,0.08392199485456066,119.0,0.051919720767888304,2292.0,4
12,2015,42.42857142857143,3.142857142857143,75.78067048917549,0.09671542935139153,182.0,0.13343108504398826,1364.0,7
13,2016,44.35,1.85,77.41995806481808,0.15261603361058088,802.0,0.09912248176986775,8091.0,20
14,2017,109.0,8.0,75.24752475247524,0.2853484623015873,701.0,0.08530055974689706,8218.0,1
15,2018,38.5,2.5,78.51712265793181,-0.0003910762211811386,46.0,0.19827586206896552,232.0,10
16,2019,21.357142857142858,1.1428571428571428,77.65525652292027,0.13867252897264462,266.0,0.1559202813599062,1706.0,14
17,2020,32.666666666666664,1.5,77.22834139358393,0.020959082496093993,260.0,0.12633624878522837,2058.0,6
